451,"ВИМ-АВИА","Общество с ограниченной ответственностью  «Авиакомпания «ВИМ-АВИА»","Москва (Домодедово)","A-319  (4), B-757  (8)"
536,"ВИТЯЗЬ-АЭРО АК ООО","Общество с ограниченной ответственностью авиационная компания «ВИТЯЗЬ-АЭРО»","Петропавловск-Камчатский(Елизово)","Ми-8  (14), Ми-8МТВ  (1)"
21,"ВОЛГА-ДНЕПР","Общество с ограниченной ответственностью «Авиакомпания Волга-Днепр»","Ульяновск (Баратаевка)  Ульяновск (Восточный)","Ан-124  (10), Ил-76  (5)"
195,"Вологодское АП","Открытое акционерное общество «Вологодское авиационное предприятие»","Вологда","Ми-8  (7), Як-40  (3)"
266,"Восток","Открытое акционерное общество «Авиационная компания «Восток»","Хабаровск(МВЛ)","AS-350  (1), Ан-28  (3), Ан-38  (2), Ми-8  (10), Ми-8МТВ  (9)"
423,"Газпром авиа ООО","Общество с ограниченной ответственностью Авиапредприятие «Газпром авиа»","Белгород  Белоярский  Колпашево  Москва (Внуково)  Надым  Остафьево  Пермь(Большое Савино)  Самара(Смышляевка)  Советский  Ухта","B-737  (3), EC-120  (1), EC-135  (8), Falcon 900  (6), RRJ-95  (7), Ми-171  (1), Ми-8  (41), Ми-8МТВ  (30), Ту-154  (2), Як-40  (5), Як-42  (6)"
382,"Геликс","Закрытое акционерное общество «Авиакомпания «Геликс»","Пермь(Большое Савино)","Ми-2  (3), Ми-8  (12)"
515,"Глобус","Общество с ограниченной ответственностью «Глобус»","Москва (Домодедово)  Новосибирск(Толмачево)","B-737  (14), Як-42  (1)"
519,"Грозный Авиа ОАО","Открытое акционерное общество «Авиакомпания «Грозный Авиа»","Грозный (Северный)","Як-42  (8)"
549,"Дальнереченск Авиа","Общество с ограниченной ответственностью «Дальнереченск Авиа»","Дальнереченск","Ан-2  (5), Ми-8  (7)"
114,"Дельта К","Общество с ограниченной ответственностью  Производственно-коммерческое авиационное предприятие «Дельта К»","Нерюнгри (Чульман)","Ан-2  (3), Ми-8  (6)"
491,"Джет Эйр Групп","ОАО «Джет Эйр Групп»","Москва (Шереметьево)","EMB-135  (2), Gulfstream G-IV  (1), HS-125-700  (1)"
89,"ДОНАВИА","Открытое акционерное общество «ДОНАВИА»","Минеральные Воды  Москва (Шереметьево)  Ростов-на-Дону","A-319  (10)"
532,"Ельцовка АП ЗАО","ЗАО «Авиапредприятие «Ельцовка»","Новосибирск(Ельцовка)","Ми-8  (18)"
479,"Ижавиа ОАО","Открытое акционерное общество  «Ижавиа»","Ижевск","Ан-24  (3), Як-42  (8)"
36,"Икар ООО","Общество с ограниченной ответственностью «Авиакомпания «Икар»","Красноярск (Емельяново)","B-767  (8)"
480,"ИрАэро АК ЗАО","Закрытое акционерное общество  Авиакомпания «ИрАэро»","Иркутск  Магадан(Сокол)","CL-600-2B19  (5), Ан-24  (8), Ан-26  (8)"
356,"Казанское авиапредприятие","Открытое акционерное общество  «Казанское авиапредприятие»","Казань","Ми-8  (3)"
