Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
"Красноярск(Емельяново)-ООО ""Аэропорт Емельяново""";2018;186 888;171 424;201 643;194 209;195 161;218 019;255 208;273 243;235 095;;;;
"Красноярск(Емельяново)-ООО ""Сибирь Карго Сервис""";2018;0;0;0;0;0;0;0;0;0;;;;
Красноярск(Черемшанка);2018;***;***;***;***;***;***;***;***;***;;;;
"Красноярск(Черемшанка)-АО ""КрасАвиаПорт""";2018;***;***;***;***;***;***;5 734;6 192;3 883;;;;
Курган;2018;***;***;***;***;***;***;***;***;***;;;;
Курильск(Ясный);2018;***;***;***;***;***;***;***;***;***;;;;
Курск(Восточный);2018;***;***;***;***;***;***;***;***;***;;;;
Кызыл;2018;1 745;1 658;1 935;1 866;2 040;2 349;2 453;2 673;2 244;;;;
Лабожское;2018;***;***;***;***;***;***;***;***;***;;;;
Ленск;2018;2 899;3 146;3 421;3 619;3 852;4 116;4 326;5 887;3 936;;;;
Лешуконское;2018;***;***;***;***;***;***;***;***;***;;;;
Липецк;2018;***;***;***;***;***;***;***;***;***;;;;
Магадан(Сокол);2018;21 741;22 410;25 439;26 524;31 549;34 898;44 877;46 070;38 920;;;;
Магнитогорск;2018;***;***;***;***;***;***;***;***;***;;;;
Мама;2018;***;***;***;***;***;***;***;***;***;;;;
Манилы;2018;***;***;***;***;***;***;***;***;***;;;;
Марково;2018;***;***;***;***;***;***;***;***;***;;;;
Махачкала(Уйташ);2018;***;***;***;***;***;***;***;***;***;;;;
Междуреченский;2018;***;***;***;***;***;***;***;***;***;;;;
Мезень;2018;***;***;***;***;***;***;***;***;***;;;;
Мильково;2018;***;***;***;***;***;***;***;***;***;;;;
Минеральные Воды;2018;0;0;0;0;0;0;0;0;0;;;;
"Минеральные Воды-ООО ""КРЕДИТИНВЕСТ""";2018;170 104;142 692;165 319;192 856;215 672;218 231;250 863;245 426;236 959;;;;
Мирный;2018;24 657;20 826;24 945;25 930;28 296;32 632;36 204;35 357;30 268;;;;
Москва(Внуково);2018;1 355 451;1 215 640;1 371 392;1 524 207;1 770 032;2 182 303;2 432 103;2 439 290;2 262 167;;;;
Москва(Домодедово);2018;2 070 002;1 773 283;2 065 279;2 201 021;2 536 179;3 006 178;3 277 260;3 304 305;2 973 728;;;;
Москва(Остафьево);2018;***;***;***;***;***;***;***;***;***;;;;
Москва(Шереметьево);2018;3 025 847;2 756 906;3 238 461;3 492 370;3 606 478;4 172 700;4 675 714;4 706 521;4 277 637;;;;
Москва(Шереметьево)-Карго;2018;0;0;0;0;0;0;0;0;0;;;;
Мотыгино;2018;***;***;***;***;***;***;***;***;***;;;;
Мурманск;2018;67 783;67 398;68 931;67 860;76 468;82 918;96 476;97 551;88 007;;;;
Мыс-Каменный;2018;***;***;***;***;***;***;***;***;***;;;;
Надым;2018;12 886;11 591;12 973;14 763;16 507;18 037;17 486;17 662;16 975;;;;
Назрань(Магас/Слепцовская);2018;***;***;***;***;***;***;***;***;***;;;;
Нальчик;2018;***;***;***;***;***;***;***;***;***;;;;
Нарьян-Мар;2018;***;***;***;***;***;***;***;***;***;;;;
Нелькан;2018;***;***;***;***;***;***;***;***;***;;;;
Нерюнгри(Чульман);2018;***;***;***;***;***;***;***;***;***;;;;
Несь;2018;***;***;***;***;***;***;***;***;***;;;;
Нижнеангарск;2018;***;***;***;***;***;***;***;***;***;;;;
Нижневартовск;2018;43 657;40 470;45 373;45 185;47 367;61 994;70 960;74 714;66 139;;;;
Нижнекамск(Бегишево);2018;***;***;***;***;***;***;***;***;***;;;;
Нижнеудинск;2018;***;***;***;***;***;***;***;***;***;;;;
Нижний Новгород(Стригино);2018;64 228;58 094;69 330;70 733;97 861;149 100;136 807;131 040;123 091;;;;
Нижняя Пеша;2018;***;***;***;***;***;***;***;***;***;;;;
Николаевск-на-Амуре;2018;2 090;2 266;2 580;2 612;3 128;3 528;4 794;4 738;3 958;;;;
Никольское;2018;***;***;***;***;***;***;***;***;***;;;;
Новокузнецк;2018;18 587;16 465;18 674;16 023;16 822;22 543;26 371;27 657;24 029;;;;
Новосибирск(Толмачево);2018;380 762;349 254;391 722;397 962;442 742;523 652;616 969;643 732;579 261;;;;
Новый Уренгой;2018;71 780;64 773;72 729;75 904;82 512;77 271;85 607;87 190;84 518;;;;
Ноглики;2018;***;***;***;***;***;***;***;***;***;;;;
"Норильск-ООО ""Аэропорт ""Норильск""";2018;33 188;26 519;31 011;35 337;54 401;45 480;51 567;56 873;50 059;;;;
"Норильск-ООО""Норильск Карго""";2018;0;0;0;0;0;0;0;0;0;;;;
Ноябрьск;2018;14 100;12 686;14 582;15 616;16 461;18 010;19 365;18 497;16 729;;;;
Нюрба;2018;***;***;***;***;***;***;***;***;***;;;;
Нягань;2018;***;***;***;***;***;***;***;***;***;;;;
Озерная;2018;***;***;***;***;***;***;***;***;***;;;;
Олекминск;2018;***;***;***;***;***;***;***;***;***;;;;
Оленек;2018;***;***;***;***;***;***;***;***;***;;;;
Ома;2018;***;***;***;***;***;***;***;***;***;;;;
Омолон;2018;***;***;***;***;***;***;***;***;***;;;;
Омск(Центральный);2018;70 344;61 047;68 666;67 901;78 836;105 867;123 079;132 372;114 892;;;;
Омсукчан;2018;***;***;***;***;***;***;***;***;***;;;;
Оренбург(Центральный);2018;51 644;45 024;49 267;52 697;67 110;83 394;94 947;92 907;82 269;;;;
Оссора;2018;***;***;***;***;***;***;***;***;***;;;;
Оха;2018;***;***;***;***;***;***;***;4 657;4 063;;;;
Охотск;2018;***;***;***;***;***;***;***;3 163;2 842;;;;
Палана;2018;***;***;***;***;***;***;***;***;***;;;;
Пахачи;2018;***;***;***;***;***;***;***;***;***;;;;
Певек;2018;1 022;1 374;1 927;2 075;1 895;2 227;2 190;2 311;2 419;;;;
Пенза;2018;***;***;***;***;***;***;***;***;***;;;;
Пермь(Большое Савино);2018;98 582;95 138;108 455;104 099;120 976;153 231;169 785;166 807;149 093;;;;
"Пермь(Большое Савино)-ООО ""Аэропортовый грузовой комплекс""";2018;0;0;0;0;0;0;0;0;0;;;;
Петрозаводск(Бесовец);2018;***;***;***;***;***;***;***;***;***;;;;
Петропавловск-Камчатский(Елизово);2018;41 337;34 110;41 888;45 501;54 726;66 712;85 998;88 785;79 408;;;;
"Петропавловск-Камчатский(Елизово)-ООО ""Петропавловск-Камчатский авиационный грузовой терминал""";2018;0;0;0;0;0;0;0;0;0;;;;
Печора;2018;***;***;***;***;***;***;***;***;***;;;;
Пионерный;2018;***;***;***;***;***;***;***;***;***;;;;
Пластун;2018;***;***;***;***;***;***;***;***;***;;;;
Подкаменная Тунгуска;2018;***;***;***;***;***;***;***;***;***;;;;
Полины Осипенко;2018;***;***;***;***;***;***;***;***;***;;;;
