Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Москва(Остафьево);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2 015;10428,9;11226,9;14128,3;15826,4;15133,8;14774,3;15335,3;15514,6;12209,9;16223,5;19240,5;18125,1;178167,5
Мотыгино;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2 015;82,3;92,2;181,4;147,2;110,9;109,7;108,8;107,8;113,9;126,4;115,2;146,7;1442,5
Мыс Шмидта;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2 015;21,32;27,09;35,09;35,81;64,76;49,01;30,75;42,52;29,39;34,48;34,16;38,45;442,83
Назрань(Магас/Слепцовская);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2 015;185,6;443,4;350,1;293,2;328,6;284,7;225,2;178;263,9;395,7;489,8;396,2;3834,4
Нижнекамск(Бегишево);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеудинск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2 015;42,86;53,44;82,9;85,96;82,22;113,88;92,74;99,77;72,36;96,68;104,51;154,65;1081,97
Нижняя Пеша;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2 015;7,19;4,41;4,74;6,93;5,66;5,06;6,18;4,88;8,38;4,8;6,34;7,29;71,86
Никольское;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2 015;64;75;79;82;85;75;79;79;83;89;84;92;966
Новосибирск(Северный);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2 015;1395,7;1567,1;1738;1720,7;1588,1;1679,4;1723,8;1653,8;1622,8;1580,3;1599,3;1801,1;19670,1
Новый Уренгой;2 015;151,7;206,9;326,5;358;442,2;384,7;420,3;281,6;299,2;323;288,6;321;3803,7
Ноглики;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Норильск;2 015;654,73;1278,21;1137,99;1288,14;1417,22;1167,71;1312,05;996,78;1085,21;1315,17;1351,13;1480,71;14485,05
Норильск(Валек);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ноябрьск;2 015;38,11;43,82;50,93;50,32;56,25;47,35;47,88;43,72;47,46;53,62;48,52;59,24;587,22
Нюрба;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Нягань;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Озерная;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Олекминск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оленек;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ома;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2 015;158;208;222;255;233;226;254;270;254;260;237;279;2856
Омсукчан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2 015;68,9;76,79;81,56;81,06;75,09;78,51;89,53;90,73;91,61;97,36;79,95;104,64;1015,73
Орск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пахачи;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2 015;21;50;87;110;55;55;58;34;62;45;60;136;773
Пенза;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2 015;119,05;159,72;165,22;180,2;142,05;147,74;174,51;150,44;156,44;171,25;177,53;208,73;1952,88
Песчанка(остров Колгуев);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2 015;420,71;532,66;550,5;606,97;546,53;791,9;1235,26;1458,33;1161,51;976,96;727,51;830,15;9838,99
Печора;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2 015;39,16;82,23;78,25;84,83;127,33;46,03;57,28;29,06;28,35;33,88;104,97;66,74;778,11
Провидения(Провидения Бухта);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2 015;256,3;341,4;329,9;394;328,5;332,44;394,7;362,55;342,52;413,83;354,61;441,37;4292,12
Ростов-на-Дону(Платов);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сабетта;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2 015;1204;1508;1767;1980;1861;1863;1992;1939;2021;2028;2121;2251;22535
Саранск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2 015;29,5;32,4;35,8;44,1;32,6;42,6;49,4;45,2;44,1;44,3;32,4;39,7;472,1
Саскылах;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2 015;94,84;218,64;137,94;144,55;125,73;131,07;169,58;173,88;610,02;1007,1;154,34;166,85;3134,54
Среднеколымск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2 015;49;58;66;70;51;55;59;54;57;61;54;74;708
Старый Оскол;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2 015;237,6;271,3;331,2;335,5;319,8;291,1;311,1;305,6;312,1;328,1;277,2;349,5;3670,1
Сыктывкар;2 015;40,99;46,19;53,26;62,99;46,51;60,47;53,28;51,66;56,1;62,32;57,83;75,29;666,89
Таганрог(Южный);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тазовский;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Таксимо;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Талакан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тамбов;2 015;0;0;0;0;0;0;0;0;0;0;0;0;0
Тара;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тарко-Сале;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Таштагол;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тигиль;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тикси;2 015;12,7;6,8;25,3;24;23;35,8;32,5;6,9;17,7;28,2;44,9;22,6;280,4
Тиличики;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тобольск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Толька;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Томск(Богашево);2 015;86,98;125,52;135,37;141,06;129,25;130,7;136,21;141,07;140,82;151,35;152,55;176,9;1647,78
Троицко-Печорск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тугур;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тура(Горный);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Туруханск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тында;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Плеханово);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Рощино);2 015;246,9;258,4;289,7;327,4;271,9;257,9;299,3;326,1;303,4;321,6;325,1;388,1;3615,8
Удское;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Улан-Удэ(Мухино);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Баратаевка);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Восточный);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Урай;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ургалан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Уренгой;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усинск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Камчатск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кара;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Куйга;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кут;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Мая;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Нера;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Хайрюзово;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Цильма;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Уфа;2 015;187,27;214,71;253,87;312,44;92,22;301,33;245,24;261,92;274,56;261,53;244,41;305,93;2955,43
Ухта;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хабаровск(МВЛ);2 015;0,1;0,1;0,14;0,84;5,08;3,68;11,03;6,96;1,45;18,73;1,83;0,04;49,98
Хабаровск(Новый);2 015;1254,63;1806,06;1867,15;2167,5;1760,04;1679,66;1920,87;1827,14;1865,22;2148,69;1988,37;2335,9;22621,23
Хандыга;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ханты-Мансийск;2 015;37,41;42,59;95,64;54,28;58,35;51,42;56,93;54,69;61,91;58,59;58,26;65,9;695,97
Харута;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хатанга;2 015;102,83;141,79;134,75;225,49;132,33;143,39;142,84;137,32;124,92;179,3;109,21;325,06;1899,23
Херпучи;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хонуу(Мома);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Хорей-Вер;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чара;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2 015;205,54;167,32;195,91;196,22;170,18;175,64;201,86;196,02;208;261;219;307,3;2503,99
Череповец;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2 015;113,53;148,86;152,1;252,2;280,42;260,59;210,65;269,04;237,05;247,03;239,43;250,4;2661,3
Чокурдах;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2 015;560,52;703,99;762,84;713,2;1036,61;970,73;966,93;997,62;1064,46;929,59;840,44;1136,09;10683,02
Якутск;2 015;522,38;625,15;696,34;768,29;733,18;940,69;994,82;946,61;1066,95;1196,05;1157,03;1473,86;11121,35
Якутск(Маган);2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2 015;0,69;0,7;0,46;0,22;0,69;1,35;0,61;1,16;2,18;0,55;0,45;3,73;12,79
Ярославль(Туношна);2 015;335,48;523,88;559,25;690,41;758,25;619,32;715,14;504,9;744,74;541,48;656,74;691,78;7341,37
Ярцево;2 015;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2 014;51,9;69,42;83,36;69,71;75,5;92,16;67,5;89,22;76,95;78,56;153,68;83,38;991,34
Айхал;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2 014;128;286;276;441;178;117;114,67;358,99;108,69;479,34;0;297,17;2784,86
Анапа(Витязево);2 014;30,68;37,24;39,2;42,43;42,93;65,62;72,89;82,3;73,05;71,29;50,22;61,07;668,92
Антипаюта;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2 014;177,8;152,6;182,2;206,4;274,4;150,6;158,8;152;167,5;205,1;281,8;438,7;2547,9
Астрахань(Нариманово);2 014;62,69;66,4;76,48;79,3;73,91;91,42;82,25;109,11;93,43;93,72;83,05;111,61;1023,37
Ачинск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2 014;10,3;10,1;9,4;21;33,5;21,5;17,7;23,1;10,7;18,1;47,2;45,3;267,9
Белушье;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2 014;161,6;182,3;212,2;213,83;226;198,5;225,2;260,73;233,7;269,8;402,7;289,7;2876,26
Бованенково;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2 014;2,32;2,69;1,19;2,45;2;1,89;2,66;3,58;3,3;3,23;2,47;2,03;29,81
Буревестник;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2 014;1726,6;1644,2;2803,5;2411,9;2083,1;2109,3;2134,4;2720,2;2958,5;3483,2;2945,4;1909,7;28930
Владикавказ(Беслан);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2 014;57;78;78;73;70;65;80;87;77;82;73;100;920
Вологда;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2 014;56,31;34,26;39,56;46,39;51,94;51,23;46,21;49,6;59,93;60,63;51,35;45,73;593,14
Воронеж(Чертовицкое);2 014;8,84;5,99;7,02;5,79;5,41;6,85;10,1;2,45;12,05;9,73;9,36;5,04;88,63
Вуктыл;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2 014;1465,47;1992,37;1887,75;1602,31;1804,02;1597,93;1731,76;2445,1;1858,24;1977,47;1787,83;2040,7;22190,95
Екатеринбург(Уктус);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2 014;25,3;65,26;52,81;148,6;35,54;31,4;154,4;0,01;24,21;11,6;12,31;137,86;699,3
Игарка;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2 014;613,1;700,09;893,59;874,88;732,41;752,43;819,33;761,71;604,58;892,99;826,96;1090,99;9563,06
Кавалерово;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2 014;268,83;302;228,94;290,88;217,24;286,57;233,6;333,47;318,78;299,95;273,74;372,1;3426,1
Казачинское(Казачинск);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2 014;261,61;327,16;357,46;387,07;330,77;335,61;379,29;397,32;402,51;463,38;412,63;528,01;4582,82
Калуга;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2 014;224,75;307,82;314,66;514,29;484,82;316,93;393,14;336,66;422,5;596,92;613,36;651,79;5177,64
Кепервеем;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Киренск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2 014;0,9;1,3;1,5;1,7;24,18;27,8;15,4;39,7;52,15;31,9;22,3;64,15;282,98
Кодинск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Комсомольск-на-Амуре;2 014;101,38;158,7;175,14;254,56;285,84;149,36;86,29;122,32;236,7;150,5;179,9;366,6;2267,29
Кондинское;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Коряки(Корякский);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Кострома;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Коткино;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Котлас;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Краснодар(Пашковский);2 014;387,21;533,53;589,52;612,9;675,22;603,07;582,64;609,02;605,48;603,98;537,84;641,24;6981,65
Красноселькуп;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Красноярск(Емельяново);2 014;914,94;1334,39;1408,56;1571,52;1496,58;1210,09;1205,06;1313,87;1340,34;1445,96;1278,42;1521,67;16041,4
Красноярск(Черемшанка);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Курган;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Курильск(Ясный);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Курск(Восточный);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Кызыл;2 014;4,93;1,29;3,2;2,5;1,33;8,43;15,44;15,01;11,13;2,99;1,99;5,6;73,84
Лабожское;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Ленск;2 014;22,68;29,65;37,91;88,69;107,95;105,61;102,73;110,78;87,27;101,83;73,04;53,74;921,88
Лешуконское;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Липецк;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Магадан-13);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Сокол);2 014;397;636;646;697;715;741;678;705;655;763;752;731;8116
Магнитогорск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Майкоп;2 014;0;0;0;0;0;0;0;0;0;0;0;0;0
Мама;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Манилы;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Марково;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Махачкала(Уйташ);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Междуреченский;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Мезень;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Мильково;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Минеральные Воды;2 014;89,7;101,3;119,9;108,5;151,3;137,9;124,5;155,8;162;209,6;183,7;183,9;1728,1
Мирный;2 014;472,88;720,01;895,57;1253,75;1049,86;969,9;1102,66;949,95;765,2;1234,6;869,46;1242,91;11526,75
Москва(Быково);2 014;0;0;0;0;0;0;0;0;0;0;0;0;0
Москва(Внуково);2 014;2322,99;2759,07;2692,64;2519,93;2562,5;2818,64;3159,81;3403,25;3867,24;3985,34;3646,84;3457,68;37195,93
Москва(Домодедово);2 014;10150,91;11421,42;14015,58;14121,12;13308,23;12960,13;13386,74;14226,86;13679,54;15140,33;14395,36;15356,81;162163,03
Москва(Остафьево);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2 014;13927,7;13455,9;21639,4;16924,1;15680,2;14481,7;14264,1;15233,9;17568,1;18105;19341,1;17161,3;197782,5
Мотыгино;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2 014;117,7;125,5;170,7;162,5;131,5;147,1;150,7;132,9;143,7;150,9;129,1;182,4;1744,7
Мыс Шмидта;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2 014;30,73;36,49;41,79;46,93;63,73;49,64;38,71;42,56;42,99;66,48;46,11;56,58;562,74
Назрань(Магас/Слепцовская);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2 014;294;552;569,9;547,6;474,6;420;362;357;425,4;427;434,8;490,1;5354,4
Нижнекамск(Бегишево);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеудинск;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2 014;66,16;71,88;97,51;82,4;96,58;90,25;83,3;96,5;107,94;102,88;88,78;145,65;1129,83
Нижняя Пеша;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2 014;5,73;13,37;28,62;10,58;3,34;5,65;4,77;6,17;5,89;4,23;6,04;7,28;101,67
Никольское;2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2 014;71;96;104;92;101;87;103;95;115;116;105;117;1202
Новосибирск(Северный);2 014;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2 014;1564,6;1664,5;2109,7;2175;2004,8;2061,1;2167,9;2314,9;2337,8;2323,1;2134,9;2214,8;25073,1
Новый Уренгой;2 014;164,2;196,5;237,5;213,1;247;304,1;337,5;270,8;283,1;353,9;282,4;293,3;3183,4
