Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Краснодар(Пашковский);2 018;344,77;490,62;557,63;637,57;606,73;545;522,4;564,69;566,84;;;;
Красноселькуп;2 018;***;***;***;***;***;***;***;***;***;;;;
"Красноярск(Емельяново)-ООО ""Аэропорт Емельяново""";2 018;0;0;0;0;0;0;0;0;0;;;;
"Красноярск(Емельяново)-ООО ""Сибирь Карго Сервис""";2 018;763,99;908,44;1 167,59;1 273,17;1 468,51;1 226,47;1 211,86;1 403,88;1 305,59;;;;
Красноярск(Черемшанка);2 018;***;***;***;***;***;***;***;***;***;;;;
"Красноярск(Черемшанка)-АО ""КрасАвиаПорт""";2 018;***;***;***;***;***;***;34,99;34,37;27,18;;;;
Курган;2 018;***;***;***;***;***;***;***;***;***;;;;
Курильск(Ясный);2 018;***;***;***;***;***;***;***;***;***;;;;
Курск(Восточный);2 018;***;***;***;***;***;***;***;***;***;;;;
Кызыл;2 018;0,98;0,68;0,38;0,52;0,44;0,47;1,38;4,8;0,72;;;;
Лабожское;2 018;***;***;***;***;***;***;***;***;***;;;;
Ленск;2 018;16,79;21,72;24,87;41,68;74,54;45,63;44,85;52,36;40,74;;;;
Лешуконское;2 018;***;***;***;***;***;***;***;***;***;;;;
Липецк;2 018;***;***;***;***;***;***;***;***;***;;;;
Магадан(Сокол);2 018;437;576;651;653;721;693;684;687;610;;;;
Магнитогорск;2 018;***;***;***;***;***;***;***;***;***;;;;
Мама;2 018;***;***;***;***;***;***;***;***;***;;;;
Манилы;2 018;***;***;***;***;***;***;***;***;***;;;;
Марково;2 018;***;***;***;***;***;***;***;***;***;;;;
Махачкала(Уйташ);2 018;***;***;***;***;***;***;***;***;***;;;;
Междуреченский;2 018;***;***;***;***;***;***;***;***;***;;;;
Мезень;2 018;***;***;***;***;***;***;***;***;***;;;;
Мильково;2 018;***;***;***;***;***;***;***;***;***;;;;
Минеральные Воды;2 018;0;0;0;0;0;0;0;0;0;;;;
"Минеральные Воды-ООО ""КРЕДИТИНВЕСТ""";2 018;94,96;115,89;148;118,23;114,74;108,96;167,94;132,07;155,98;;;;
Мирный;2 018;559,1;532,09;688,65;785,74;929,85;657,97;469,96;593,53;578,72;;;;
Москва(Внуково);2 018;3 722,28;5 222,28;5 558,45;5 522,41;4 936,49;5 226,89;5 493,41;5 729,53;5 893,07;;;;
Москва(Домодедово);2 018;8 302,24;10 126,18;9 755,39;9 397,39;11 327,33;9 621,69;10 301,11;10 307,97;9 364,02;;;;
Москва(Остафьево);2 018;***;***;***;***;***;***;***;***;***;;;;
Москва(Шереметьево);2 018;16 028,50;12 767,50;17 560,50;17 961,80;19 730,20;24 769,50;20 397,30;20 769,40;21 371,40;;;;
Москва(Шереметьево)-Карго;2 018;5 276,30;6 411,70;6 918,20;6 747,60;5 422,10;5 433,10;5 947,50;5 291,00;4 949,10;;;;
Мотыгино;2 018;***;***;***;***;***;***;***;***;***;;;;
Мурманск;2 018;109,49;129,69;141,71;225,06;145,39;122,1;126,54;140,94;146,58;;;;
Мыс-Каменный;2 018;***;***;***;***;***;***;***;***;***;;;;
Надым;2 018;22,93;25,43;31,29;31,45;34,2;26,61;30,46;27,74;36,64;;;;
Назрань(Магас/Слепцовская);2 018;***;***;***;***;***;***;***;***;***;;;;
Нальчик;2 018;***;***;***;***;***;***;***;***;***;;;;
Нарьян-Мар;2 018;***;***;***;***;***;***;***;***;***;;;;
Нелькан;2 018;***;***;***;***;***;***;***;***;***;;;;
Нерюнгри(Чульман);2 018;***;***;***;***;***;***;***;***;***;;;;
Несь;2 018;***;***;***;***;***;***;***;***;***;;;;
Нижнеангарск;2 018;***;***;***;***;***;***;***;***;***;;;;
Нижневартовск;2 018;225,2;320,5;333,1;334,2;334,8;210,4;148,8;144,8;171,4;;;;
Нижнекамск(Бегишево);2 018;***;***;***;***;***;***;***;***;***;;;;
Нижнеудинск;2 018;***;***;***;***;***;***;***;***;***;;;;
Нижний Новгород(Стригино);2 018;44,47;58,61;63,54;69,95;68,09;69,42;67,97;70,2;70,29;;;;
Нижняя Пеша;2 018;***;***;***;***;***;***;***;***;***;;;;
